index,Unidades da Federacao,Unidade,Produto,Ano,Producao
0,Acre,(mil m3),Etanol anidro e hidratado,2014,0
1,Alagoas,(mil barris),LGN,2014,51600
2,Alagoas,(mil barris),Petroleo,2014,26690
3,Alagoas,(mil m3),Etanol anidro e hidratado,2014,48525
4,Alagoas,(milhoes de m3),Gas Natural,2014,5353
5,Amazonas,(mil barris),LGN,2014,60850
6,Amazonas,(mil barris),Petroleo,2014,102220
7,Amazonas,(mil m3),Etanol anidro e hidratado,2014,292
8,Amazonas,(milhoes de m3),Gas Natural,2014,47038
9,Bahia,(m3),Biodiesel,2014,1601920
10,Bahia,(mil barris),LGN,2014,14840
11,Bahia,(mil barris),Petroleo,2014,191920
12,Bahia,(mil m3),Etanol anidro e hidratado,2014,24029
13,Bahia,(milhoes de m3),Gas Natural,2014,30967
14,Ceara,(m3),Biodiesel,2014,729840
15,Ceara,(m3),Biometano,2014,0
16,Ceara,(mil barris),LGN,2014,5700
17,Ceara,(mil barris),Petroleo,2014,66810
18,Ceara,(mil m3),Etanol anidro e hidratado,2014,913
19,Ceara,(milhoes de m3),Gas Natural,2014,328
20,Espirito Santo,(mil barris),LGN,2014,6140
21,Espirito Santo,(mil barris),Petroleo,2014,1339740
22,Espirito Santo,(mil m3),Etanol anidro e hidratado,2014,16235
23,Espirito Santo,(milhoes de m3),Gas Natural,2014,47495
24,Goias,(m3),Biodiesel,2014,6438370
25,Goias,(mil m3),Etanol anidro e hidratado,2014,426903
26,Maranhao,(mil barris),Petroleo,2014,4300
27,Maranhao,(mil m3),Etanol anidro e hidratado,2014,17915
28,Maranhao,(milhoes de m3),Gas Natural,2014,19684
29,Mato Grosso,(m3),Biodiesel,2014,6111080
30,Mato Grosso,(mil m3),Etanol anidro e hidratado,2014,113204
31,Mato Grosso do Sul,(m3),Biodiesel,2014,2172970
32,Mato Grosso do Sul,(mil m3),Etanol anidro e hidratado,2014,234974
33,Minas Gerais,(m3),Biodiesel,2014,832830
34,Minas Gerais,(mil m3),Etanol anidro e hidratado,2014,267628
35,Para,(m3),Biodiesel,2014,0
36,Para,(mil m3),Etanol anidro e hidratado,2014,4215
37,Paraiba,(mil m3),Etanol anidro e hidratado,2014,3757
38,Parana,(m3),Biodiesel,2014,3192220
39,Parana,(mil m3),Etanol anidro e hidratado,2014,157946
40,Parana,(milhoes de m3),Gas Natural,2014,0
41,Pernambuco,(mil m3),Etanol anidro e hidratado,2014,33606
42,Piaui,(m3),Biodiesel,2014,0
43,Piaui,(mil m3),Etanol anidro e hidratado,2014,3251
44,Rio Grande do Norte,(m3),Biodiesel,2014,0
45,Rio Grande do Norte,(mil barris),LGN,2014,13380
46,Rio Grande do Norte,(mil barris),Petroleo,2014,209620
47,Rio Grande do Norte,(mil m3),Etanol anidro e hidratado,2014,7324
48,Rio Grande do Norte,(milhoes de m3),Gas Natural,2014,4899
49,Rio Grande do Sul,(m3),Biodiesel,2014,9736470
50,Rio Grande do Sul,(mil m3),Etanol anidro e hidratado,2014,44
51,Rio de Janeiro,(m3),Biodiesel,2014,172620
52,Rio de Janeiro,(m3),Biometano,2014,0
53,Rio de Janeiro,(mil barris),LGN,2014,151770
54,Rio de Janeiro,(mil barris),Petroleo,2014,5632320
55,Rio de Janeiro,(mil m3),Etanol anidro e hidratado,2014,8849
56,Rio de Janeiro,(milhoes de m3),Gas Natural,2014,110974
57,Rondonia,(m3),Biodiesel,2014,109770
58,Rondonia,(mil m3),Etanol anidro e hidratado,2014,1277
59,Santa Catarina,(m3),Biodiesel,2014,684520
60,Sao Paulo,(m3),Biodiesel,2014,1703450
61,Sao Paulo,(m3),Biometano,2014,0
62,Sao Paulo,(mil barris),LGN,2014,15940
63,Sao Paulo,(mil barris),Petroleo,2014,592350
64,Sao Paulo,(mil m3),Etanol anidro e hidratado,2014,1387149
65,Sao Paulo,(milhoes de m3),Gas Natural,2014,41631
66,Sergipe,(mil barris),LGN,2014,10840
67,Sergipe,(mil barris),Petroleo,2014,149720
68,Sergipe,(mil m3),Etanol anidro e hidratado,2014,11154
69,Sergipe,(milhoes de m3),Gas Natural,2014,10580
70,Tocantins,(m3),Biodiesel,2014,736040
71,Tocantins,(mil m3),Etanol anidro e hidratado,2014,18072
